15:12:05.851 TRACE [Log4JLogger              ] 41   setup                     - entry
15:12:15.868 DEBUG [ConnectionFilter         ] 47   <init>                    - ConnectionFilter instantiated
09:48:42.339 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/connectionstatus
09:50:06.212 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/datastorage/dataFiles
09:50:06.212 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/datastorage/libFiles
09:50:06.221 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/process/confinit
09:50:07.111 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/userruns
09:50:34.972 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/datastorage/dataFiles
09:50:34.983 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/process/confinit
09:50:34.983 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/datastorage/libFiles
09:54:50.334 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/userinfo
09:54:50.335 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/connectionstatus
